name,X,Y,num
Andong,359245.1133,343593.4577,1
Ansan,178351.3397,421200.104,2
Anseong,226890.2788,392629.2295,3
Anyang,193607.2676,433701.0611,4
Asan,198259.7804,367597.7247,5
Boeun,265291.3689,332359.1802,6
Bonghwa,370434.1846,383450.1714,7
Boryeong,163297.0318,316280.187,8
Bosung,214774.0054,146230.758,9
Buan,167318.8455,241937.2286,10
Bucheon,181324.5677,444988.3645,11
Busan,387536.4643,191024.5384,12
Buyeo,187077.7973,305086.5184,13
Changnyeong,335366.0033,224210.6428,14
Changwon,350553.3561,198760.0786,15
Cheonan,218010.5758,366975.5389,16
Chilgok,331814.801,280459.9239,17
Choongju,279652.6966,390769.8922,18
Chulwon,230993.8904,526205.1973,19
Chuncheon,265026.158,487752.2175,20
Chungdo,361595.5901,242879.6131,21
Chungju,241575.6199,348977.3207,22
Chungsong,384598.3504,319325.7962,23
Chungwon,244747.2895,346781.0446,24
Chungyang,186768.1013,325531.3405,25
Daegu,341379.0274,259962.8205,26
Daejeon,235295.5253,315525.7443,27
Damyang,199507.3678,199124.9074,28
Dangjin,168842.2813,378147.8671,29
Danyang,323479.3254,388975.4385,30
Dongduchun,206860.7795,490740.109,31
Donghae,381731.2843,446976.9286,32
Euijungbu,206001.3172,470729.1351,33
Euiryong,315974.1297,211147.5798,34
Euisung,344913.0784,319116.765,35
Euiwang,199010.3687,428921.8138,36
Eumsung,254641.1081,386213.6218,37
Gangjin,179035.5859,124629.7359,38
Gangneung,361496.2868,469018.1968,39
Gapyeong,239578.8777,479650.8208,40
Geochang,281731.2291,248424.4121,41
Geumsan,242990.1584,291074.4528,42
Gimcheon,297047.3415,284976.9901,43
Gimhae,367913.3789,198826.4235,44
Gimje,191536.118,255959.2885,45
Gimpo,166838.6105,464066.8536,46
Gochang,165038.7008,216596.5857,47
Goesan,273998.7181,363444.5202,48
Goheung,229157.7274,122105.4664,49
Gokseong,223936.3383,190855.5021,50
Gongju,207741.6567,331031.5734,51
Goryeong,318055.1803,249261.7747,52
Gosung,317753.0643,169274.0986,53
Goyang,185508.6496,462841.9432,54
Guje,348371.498,153586.2978,55
Gumi,321835.2455,301632.4666,56
Gunpo,192956.0039,426800.6819,57
Gunsan,175582.3558,272388.9428,58
Gunwi,348260.0439,297880.9616,59
Guri,211562.3983,455677.0825,60
Gurye,245734.0133,193188.8655,61
Gwacheon,200207.1683,436836.1662,62
Gwangjoo,226596.4375,433471.7262,63
Gwangju,184968.1377,184073.1973,64
Gwangmyung,188042.2517,438450.979,65
Gwangyang,259474.2099,169878.246,66
Gyeongju,401983.2752,260797.548,67
Gyeongsan,363406.8773,260790.8569,68
Gyeryong,220974.6724,310089.2934,69
Hadong,270977.01,182296.8292,70
Haenam,155797.2662,116388.9989,71
Haman,330107.2475,200027.5165,72
Hampyeong,157548.3551,179386.9055,73
Hamyang,265376.9396,228198.6902,74
Hanam,218159.7844,446761.9716,75
Hapcheon,303372.508,231359.6773,76
Hawcheon,260212.1558,517820.2619,77
Hoengsung,295185.9939,445825.6009,78
Hongcheon,294587.9462,471941.2404,79
Hongsung,166174.8147,341009.9078,80
Hwaseong,188683.9754,407079.7998,81
Hwasoon,203044.1258,168010.0563,82
Iksan,198970.8334,280313.7988,83
Imsil,221322.7152,233127.8414,84
Incheon,144946.5325,453949.8524,85
Inje,310744.1594,507983.6987,86
Jangheung,192767.2622,130859.8892,87
Jangsu,249193.653,239822.2095,88
Jangsung,178892.5961,203361.1919,89
Jecheon,301420.4072,395965.5668,90
Jeju,156207.7105,-5755.571218,91
Jeongeup,191316.5423,233690.3393,92
Jeongju,210406.8829,258678.2152,93
Jeungpyung,253965.9075,365492.6354,94
Jinan,238788.8794,258817.8351,95
Jincheon,239206.8159,374459.8843,96
Jindo,127038.2639,104104.1729,97
Jinhae,357942.6503,182884.054,98
Jinju,302811.4681,190129.1323,99
Jungsun,354050.7158,432451.7248,100
Masan,336753.6829,185601.3844,101
Milyang,362281.7546,223519.6071,102
Mokpo,144153.7114,145494.5472,103
Muan,147192.3227,162156.3059,104
Muju,264262.4645,271234.1888,105
Munkyeong,302594.454,354981.8469,106
Naju,174332.3184,165516.1166,107
Namhae,286128.1004,147060.6633,108
Namwon,240010.9351,213741.0152,109
Namyangju,221390.6518,462334.411,110
Nonsan,214136.738,298929.8115,111
Okchun,258897.2908,313508.6009,112
Osan,204475.5168,406842.9724,113
Paju,182583.4026,484714.5717,114
Pocheon,221930.9615,496389.8666,115
Pohang,407591.5147,290514.6617,116
Pyeongchang,330923.1175,451493.7841,117
Pyeongtaek,199572.8349,390497.4343,118
Sacheon,294574.2291,172682.3897,119
Samcheok,388227.7469,421922.3512,120
Sancheong,280295.1606,208028.5569,121
Sangju,295602.2106,325920.1549,122
Sejong,226163.202,343869.198,123
Seocheon,173277.3678,289596.6257,124
Seogipo,160895.6135,-19038.1979,125
Seosan,151896.6311,365619.6692,126
Seoul,199235.8485,449985.1269,127
Siheung,181102.9761,431914.4702,128
Sinan,111722.4856,145080.3317,129
Sokcho,333127.6994,520367.0704,130
Sunchang,208086.1564,214901.0016,131
Suncheon,235417.6606,166299.107,132
Sungju,311341.2551,268119.1912,133
Sungnam,210211.8473,433920.459,134
Suwon,200629.7634,419807.912,135
Taean,135978.378,355384.4195,136
Taebak,375867.51,410027.841,137
Tongyeong,325715.7066,148435.8369,138
Uljin,406102.0626,380554.8387,139
Ulreung,541279.3277,451923.0426,140
Ulsan,402888.1828,230508.3644,141
Wando,179985.3454,88618.56634,142
Wanju,219344.8915,268735.3262,143
Wonju,282473.6129,423334.2012,144
Yanggu,286902.9161,521384.4003,145
Yangju,200109.3083,478765.2164,146
Yangpyeong,251094.9108,446381.1385,147
Yangsan,385370.4022,213223.1536,148
Yangyang,340102.7373,501425.9059,149
Yechun,327124.3997,351267.6135,150
Yeoju,254531.53,422456.0282,151
Yeoncheon,197672.4504,511490.1449,152
Yeongam,166274.7997,144906.7341,153
Yeongchun,375050.0227,281221.4914,154
Yeongdong,273203.1698,295745.977,155
Yeonggwang,149514.9298,197607.2038,156
Yeongi,223014.0653,342065.899,157
Yeongju,342403.3134,375512.8979,158
Yeosu,259763.2148,133073.555,159
Yesan,180640.4528,352158.8023,160
Yicheon,242645.8831,412120.3403,161
Yongin,219641.217,413309.6525,162
Youngduk,407658.8162,333759.23,163
Youngwol,333319.2907,412676.0928,164
Youngyang,391641.4058,357239.6857,165
Ansung,224877,389943,166
