"","Andong","Ansan","Anseong","Boeun","Boryeong","Bosung","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangjin","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Goheung","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangheung","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongam","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Andong",134392,9167,22414,100,267,1,99,43886,23,14091,4824,1023,521951,37871,23374,10095,1663,15,1509346,1876,1376,2654,91377,312,100079,1330,14828,0,5993,2915,6766,56,900,14020,76,626,147,0,50,51,18301,177,1641,9716,52,97658,284,20317,22147,10722,39385,41670,35,2094,55719,12,2017,764,7378,10621,334,14485,371,141,0,438,521,86207,284,1182,487,4293,4787,23980,91,158,65,0,4028,4315,114,124,14485,19085,2663,15960,4416,1170,657,89,12,1806,255338,33112,1145,1627,986,50357,1356,51823,3833,67997,15706,41608,2830,36644,13058,0,13337,171,322,122372,344,10386,16121
"Ansan",9225,575431,93734,2844,19001,1,7743,18427,5656,4395,2264,75397,6435,41783,1110,580,44054,1732,41178,40961,566,90379,7736,14822,312,279219,82327,4,27159,9,335,2576,5743,7710,2610,5143,6269,1,307,14942,532,436,18891,733415,31060,272,154,3831,16798,1233,13923,4507,941,229,13774,1794,4355,25,20613,2442,12540,516441,991,287,1,682,2616,26263,347,1689,91,24142,2170,3202,19374,1895,5603,74,303,17,1848,3900,67226,6897,10248,232321,1415,952,28972,4892,8671,44214,7212343,5881291,59,692,3102,1221195,1697,15807,836,83430,1100,7758,7315,439,68001,2,5161,1172,3154,14008,20102,171926,514427
"Anseong",27405,220016,701527,20281,45677,5,24723,33172,46894,9014,4394,1028981,12039,455255,22040,1905,503215,13871,89045,447783,1279,146513,70630,16180,676,25095,587561,13,41601,23,1641,18646,20005,15163,8430,19646,13584,3,74,126946,1121,2647,38262,74462,112884,607,728,362048,22741,6535,18826,9889,11854,1416,27043,4900,13395,74,30060,25523,30213,1315251,9143,1710,1,3558,4522,186728,6712,13081,425,644851,13132,9735,77063,10258,8170,104,2042,33,6964,23181,1663556,13617,14069,1282894,7828,5986,56624,42143,29006,87432,4605453,515898,278,1806,4387,1382079,8578,26158,7282,102291,19741,18231,15267,1230,125163,7,8472,6549,12254,55219,24363,284918,104922
"Boeun",111,6403,22229,87081,510,0,270,9138,1229,2777,1215,66866,4370,5636,873,602,689649,717,34228,154172,95,1091,1163,221,17,432,7722,0,792,1,191,607,2511,3822,623,201,463,0,17,2867,828,37,21852,1305,2175,7,184,10105,5387,1916,5180,2679,1805,61,8175,64,115,50,377,725,37,26611,4218,577,0,80,744,2704,2157,4810,64,15936,362,2438,1007,185,1284,0,217,4,3553,588,25081,5451,231,19350,219,93,109499,2818,887,1707,129563,28128,65,513,3191,26609,184,9566,3093,1355,791,5057,344,1,2322,0,2968,79,171,63,3739,5290,2722
"Boryeong",337,42558,45324,499,384312,0,37086,185,7815,50,20,2057,286,11977,321,34,7908,565,3730,53886,2567,158737,5615,423,3,20164,8274,3,914,1,3,690,1636,69,17950,16964,356,0,1333,8764,7,15,2018,19468,612738,9,59,350,74879,1198,570,153,113,320,130,3554,11,3,325,334,189980,190263,19,8,1,3,8700,6199,19,39,6,5130,47,112,39208,142,113,159,82,2,63,1343,5850,797,214,249898,101,11,904,38457,308165,256394,516384,157275,188,7953,81,25566,44,932,27,1430,283,65,264,7,1196,1,243,384,7511,1069,2530,1683,2134
"Bosung",0,1,3,0,2,1175811,12,19,3,0,2,0,0,2,0,0,3,0,9,24,30,2,0,0,0,0,2,67475,1,0,0,1,0,8,11,19,2,210,72,0,0,0,1,0,19,0,0,1,185,73,3,1,0,8,19,3,0,0,0,0,1,2,6,0,146662,0,53,1,38,16,0,1,13,0,147,3,0,1,14,0,2,3,0,7,0,0,4,0,1,0,1,1,39,3,3,912823,0,2,3,0,22,2,0,7,0,0,1,146603,1,0,0,0,1,1,1
"Buan",67,14077,7127,105,38658,6,37701,3810,15587,362,874,19638,105,321,89,15,1582,2503,4222,2999,11605,13856,27,21,28,1053,173,11,74,0,366,40,100,2889,32073,114621,2,0,6482,32654,231,402,243,3919,149439,15,1637,125,267882,5070,457,147,7,1707,5660,20918,786,31,37,52,15069,42233,20,84,1,7,31698,152,157,671,6,196,1465,58,92111,21,5,443,6167,3,17,93,10524,604,17,21990,1634,575,279,16219,22500,21214,155850,44650,2259,24965,124,13476,1580,1583,103,135,54,910,41,0,163,4,275,25,40550,33,4408,198,883
"Busan",51050,31712,42647,7178,224,14,4109,128778,1485,286892,2543812,105686,156536,38955,8574,139799,95484,1157,1127758,159663,12109,18618,12172,43,13349,5958,34911,5,956,240,65119,19448,92809,8310265,3933,8118,31739,11,10835,13455,9793,3625,166340,11224,2539,8656,3662,51010,197718,515510,1191132,102644,3080,201532,671509,161,36860,4586,3097,4308,68,61527,45556,1925,9,6192,6880,14470,9470,139161,6260,16155,509874,594500,1689,14330,10876,0,24432,163,11313,17953,45219,57043,1585,59691,344986,71028,42960,19513,664,21669,375664,71370,5233,73149,45747,63524,2597,2515014,112708,14677,18078,6535679,1005,2380,22838,18,244487,14022,5849,27599,21145,37747,26375
"Buyeo",24,6709,13865,1011,8823,0,15354,727,35271,218,69,51540,873,1528,124,115,9018,18743,9324,152234,821,15515,209,87,12,328,916,2,184,1,5,1187,2830,258,5668,7010,34,0,222,120004,15,12,4159,1590,153014,5,4,233,22768,44,1702,604,120,15,301,1693,16,4,78,112,887,25654,43,8,0,2,2866,702,15,71,13,1560,37,484,13273,423,32,64,6,1,105,3384,21491,1997,61,12935,20,16,2948,136759,46800,9248,139539,25210,7,262,338,25021,22,2651,31,355,85,379,65,0,339,0,883,1073,2948,135,26531,495,1679
"Changnyeong",13413,7178,8624,2112,29,1,368,262107,379,197585,110002,19816,33701,9747,1718,44,19680,281,709598,34150,1084,3089,2844,26,4216,452,7514,0,660,28,48114,943,39101,269363,376,872,7145,0,435,1756,7957,1247,38574,2228,357,3230,342,6239,10842,33316,6596,14098,453,20365,973200,21,6597,4418,633,1075,12,9461,3302,312,0,761,494,3137,728,24559,839,3567,91638,99,229,714,3920,0,3960,11,1344,3564,8164,26017,383,8490,42625,5828,14370,4442,108,2777,74795,12540,937,4857,43930,12708,3295,10451,9108,2536,5190,37150,372,599,4717,1,17422,4535,353,6992,4127,5526,4611
"Changwon",8560,4984,6654,1631,12,5,1181,2454593,141,181614,3309942,16712,16283,7724,1910,565,14376,126,201568,30473,3741,3954,2593,32,2631,568,4167,5,679,41,30318,3004,20270,3917613,1393,2322,5785,1,3135,2189,2897,2488,25020,2606,313,1153,1694,5827,46325,133875,127529,769,424,76202,786904,26,15603,3063,661,1292,17,9318,9250,715,0,1797,1942,3252,2679,83056,2134,2896,307465,2087,216,4123,3049,0,7107,18,3152,1883,7396,1018,333,7495,168641,37572,9006,4741,66,6656,65729,12240,1579,23261,16885,11454,3382,423776,24244,2513,5186,613939,470,459,3490,2,2177,2061,1197,5061,3780,3438,4203
"Cheonan",1984,203724,1083312,70517,4010,6,61173,141588,127717,22099,14186,2842786,41134,24357,2706,4496,1063135,36090,277184,1720718,346,4280,3339,3560,116,17459,16835,32,8128,8,3210,58929,57982,41601,16312,47499,964,2,66,331946,3333,5798,152199,42755,290941,81,521,4458,11870,3797,83699,31536,18905,2300,92497,11852,15715,207,3296,2906,667,1318741,3318,847,3,5860,3214,13825,1643,8875,471,8785,28806,24121,184737,27508,398,252,2640,16,4602,73313,1457063,40844,2729,750908,18945,14180,119650,117849,69879,7277,3861820,600085,132,1026,15802,1207648,19257,99017,2962,10142,2309,51424,3978,76,9738,13,38323,18819,29243,3889,9531,19301,70070
"Chilgok",558330,6098,9708,3056,236,0,143,118042,779,40482,9986,29833,97292,12844,10540,35730,28086,542,6479953,54964,1828,3189,45058,486,186302,544,7978,0,4746,269,14856,758,68450,46065,334,643,8804,1,35,3226,35936,457,475015,5136,785,175055,295,6257,28941,14043,186902,396247,1325,3356,100134,30,3281,1659,3971,6932,19,12280,6514,244,0,439,1747,38769,757,6955,618,3563,7678,70122,337,141,5804,0,6081,180,3925,9680,10535,236719,2388,18187,8472,1599,40666,5528,570,6632,66347,15146,1496,1828,1474,10365,2098,178636,4173,16605,4128,100482,2341,13999,4846,0,257342,10974,385,165732,6537,7942,5182
"Choongju",38697,58368,419408,5335,13433,1,380,36323,1426,9892,4339,12909,15194,229611,2550,1482,294681,487,89704,268011,784,54368,141381,864,1431,8423,406033,0,3277,38,1464,7216,16595,15872,2777,366,48836,1,67,2444,4519,162,42555,40753,6256,1767,1354,120635,35728,12456,16983,12642,7773,648,29689,125,1248,94,1433,1883,8436,108302,19717,2560,0,1019,4668,179214,12206,26557,657,161357,2504,7989,2669,3152,24542,0,1771,63,14069,11657,108048,12739,912,186586,1924,1219,120043,2905,2162,29036,917966,142383,495,3471,6897,224870,993,26852,14142,8815,107972,16345,1322,2165,120824,0,8502,2502,408,85690,7705,82619,83441
"Chuncheon",34768,850,22186,788,237,0,55,10239,116,2164,1140,1482,11746,2658,1408416,872,31072,30,61863,40182,160,490,23830,12299,3940,171,18500,4,25976,38878,515,1117,987,3330,466,59,827,0,25,275,1526,103,2343,930,413,7455,335,853,7206,2550,8521,2530,1541,384,11722,18,450,38,1014945,4960723,161,2523,2783,490,0,246,1036,154722,1547,5285,115,6041,1618,5100,336,638,508,0,485,192169,2135,1545,2096,6731,7217,1806,997,364,2489,455,135,477,1173463,1438,85,706,236,9707,764,14467,2592,1006350,17379,9829,2046,3548,45671,0,2273,313,78,40462,216,30934,28891
"Chungdo",74,2,10,3,0,0,0,1144,1,2,14,37,318,16,5,69,33,0,1334,91,0,0,12,0,17,0,10,0,2,0,5,1,26,279,0,1,20,0,0,3,6,1,315,3,0,10,0,15,15,7,317,157,0,1,24,0,3,0,5,4,0,12,2,0,0,0,0,15,0,1,3,8,3,302,2,0,7,0,4,0,2,3,17,254,0,6,4,1,26,4,0,4,182,33,0,0,8,30,2,541,8,21,9,1485,0,2,9,2,250,13,0,62,5,9,6
"Chungju",2301,127575,560717,728235,9997,1,2722,118239,11477,22126,11150,981549,39212,346042,35716,4912,2612759,5981,301015,4530912,4850,22110,69324,14824,134,11298,482574,4,41401,33,3670,138419,72105,45097,20307,2457,2009,3,478,24628,3818,6435,186809,30315,26589,122,9117,312367,187217,76287,64621,26671,74098,5799,78643,728,21171,207,17224,27565,1427,435450,142594,17028,0,10529,33970,172671,67769,175282,5450,913985,38157,26191,14514,45438,1244,10,11676,45,92973,369292,431924,50146,11794,361854,23600,18607,333804,23794,10328,17902,2587744,364608,2530,18666,18039,475820,25462,89526,92190,57043,24955,51430,18362,89,100055,3,30295,72453,2302,21978,23114,306812,105725
"Chungyang",9,1964,3496,581,956,0,2128,1023,17829,289,93,11224,580,394,33,97,4822,174,6978,146037,109,4476,60,17,24,82,727,0,45,2,10,2053,1877,269,654,1275,11,0,29,29430,44,12,2859,378,19068,4,17,61,3590,114,1340,497,308,7,460,390,34,0,27,24,38,6400,109,28,0,11,800,188,38,181,7,259,47,370,3793,737,8,20,13,0,207,3112,5390,1460,8,3235,27,39,1329,68083,9040,2348,32676,6264,5,57,231,6284,40,2075,90,75,16,555,19,0,73,0,603,738,770,54,7181,125,421
"Daegu",1462057,51621,84956,30224,3407,6,4617,592534,8757,736314,129047,229901,6428169,96884,53617,145083,253976,7132,19379664,597890,29348,32520,91232,648,765574,4698,55026,13,22306,1904,717890,8814,983374,305931,6581,11932,85127,8,630,26207,1084412,4778,4944686,27854,4758,730238,5124,88992,309989,175968,1609414,4069620,11816,59030,1335046,248,89748,113631,15845,30858,329,123499,45775,3480,2,12211,10580,115233,12310,69775,14050,27289,133054,287184,3121,8857,70046,3,98805,937,31594,52680,116016,3016031,11047,94509,132152,38238,447777,79137,3855,42221,1009662,142625,23643,24211,363928,182921,30699,1072799,145697,88860,57376,345854,11530,47732,61832,1,3735427,91067,5483,452548,55668,51209,60461
"Daejeon",1966,89001,428218,162234,52001,10,3150,175463,138515,36025,21211,1541690,62020,286282,41587,9852,4365870,147893,652525,12553826,11491,270663,29565,14871,457,7640,181228,2,40149,32,9551,1514723,333188,70618,70477,3818,2219,7,1305,569845,6003,18345,321933,35556,68517,363,23817,179061,527958,174306,119736,46276,428830,15824,170024,1515,81087,615,17013,32409,2702,442550,648332,56851,6,57330,83655,114911,233586,833035,22870,353220,113969,40976,26681,583092,2112,10,35805,39,871868,1680944,453285,123178,11067,289660,74901,55170,343129,1406867,95225,300076,2721686,364429,6514,46795,24828,541610,77045,152770,408974,54519,22491,89925,16569,57,81901,6,54741,428092,4946,13194,851139,148771,72169
"Damyang",1305,2467,1637,81,3113,24,11742,8703,986,1154,2491,498,1536,740,173,97,4358,171,30978,13837,35080,7124,156,44,251,54,527,3,140,1,4723,474,1120,7948,5524,24391,36,7,110347,14676,1717,949,2248,297,13038,132,16550,772,1281585,32874,2865,1620,1286,4544,15179,240,5777,381,261,129,1458,4188,2376,4550,11,92,16324,315,12153,9308,84,931,6523,145,1427,1960,61,3,58523,0,2213,283,256,4074,47,2820,8139,3488,769,4420,1246,5526,16871,7631,26611,142062,1128,416,3205,3656,9855,298,83,1797,67,40,963,10,1737,39,10105,679,7409,1080,79
"Dangjin",3649,277740,144519,1348,123858,0,10077,32175,13430,4334,3884,5699,10834,43906,616,601,19948,3984,52520,284281,1615,815107,20125,1843,81,62675,38967,2,6036,2,441,6215,12144,9501,4948,5256,1157,1,607,78393,333,3425,15523,73871,77977,34,2087,1026,66063,14590,23948,11211,2157,655,20480,1967,1565,9,1433,892,86443,938330,13519,3793,1,363,12361,28573,4800,22840,757,37323,3363,4628,24719,3259,912,72,1726,8,25724,8480,22506,43169,785,1372703,3013,1786,5013,109329,28948,258977,1708578,813494,521,4491,2497,75316,2243,28584,11873,4077,612,8140,846,147,4559,4,15764,3119,3415,5332,215510,4130,7323
"Danyang",107447,8947,61429,890,1401,0,41,15874,202,4407,1689,1398,42551,121269,17049,1614,60887,43,105553,24283,150,6569,45479,856,23507,1349,50255,0,5628,1542,1197,801,275,5798,328,47,1916,0,8,282,4165,84,378,10248,1134,40978,82,22990,3626,15631,11114,4417,439,3438,20747,9,362,84,8429,9597,502,20547,2265,151,0,135,331,122210,1186,2847,78,19101,1909,10060,566,239,279,0,748,2184,1294,1033,17562,7036,1715,28005,1374,278,377,477,452,2711,186148,30921,154,459,355,45765,473,33349,1706,120052,13667,14857,2400,12679,13881,0,3351,192,31,350797,846,10539,16775
"Donghae",269,13554,14809,181,454,1,49,181,123,28,19,2337,370,786,5694,5,11373,32,567,12475,53,2213,800,108624,46,2222,6348,0,1766896,675,15,356,141,55,545,40,291,0,6,276,20,3,254,17167,582,32,33,26790,2355,370,95,14,578,25,220,13,24,1,149351,924,169,13451,1808,98,0,38,295,2798,676,1943,46,3435,41,20,258,136,130,0,62,2110,628,559,6940,79,76634,4711,27,23,350,232,119,997,272825,46738,19,115,19,69531,18,262,908,141666,6320,61,320453,68,21027,0,42,72,58,434,291,18642,36686
"Euisung",84957,318,667,6,7,0,24,9148,19,4514,1627,77,156500,1423,2226,2841,103,23,756609,484,228,46,13989,36,291,35,614,0,500,173,1844,13,298,4124,20,94,26,0,9,27,4707,80,420,297,16,26805,54,737,4039,2604,6006,11433,8,464,13625,4,495,157,961,1194,3,504,169,71,0,114,134,6858,75,401,121,126,957,6294,12,70,19,0,1024,181,53,59,493,4383,304,583,952,273,54,28,18,40,7902,1013,205,282,334,1666,273,11222,1122,10242,607,8980,296,3168,556,0,2780,78,74,24339,109,347,572
"Euiwang",1761,317847,25453,559,26024,0,1475,7610,1350,503,379,24723,652,8827,220,133,11649,405,5772,10776,52,92422,1680,2393,36,1030,16643,0,4562,1,41,545,1029,1404,384,1046,1309,0,18,3947,114,73,2392,161710,5882,51,16,1515,1548,85,1332,422,188,84,2876,389,210,8,3656,517,19002,103696,71,20,0,96,255,4250,28,134,6,5913,340,574,4156,337,832,17,42,4,95,1038,15571,878,2097,68679,253,199,4820,1174,4686,58648,889806,689846,6,45,461,383110,272,1973,64,16945,232,1739,1644,75,15098,0,538,174,623,2364,26191,46990,136209
"Eumsung",11472,124506,578364,7507,8631,0,218,24931,636,8125,2955,10917,10430,322112,19746,1080,365690,180,60121,148852,484,45425,45365,7074,543,15033,189232,0,22516,21,720,4786,7798,11873,2017,234,15942,1,60,1596,1077,655,18734,73277,2241,557,580,345038,20505,8048,11143,9681,5643,460,18170,91,1471,46,14689,14767,7579,220339,12775,1773,0,1204,6409,111015,10427,12403,509,169947,3392,6522,2238,2170,9185,0,1366,25,8544,7674,208874,8691,7546,282776,1857,1507,49605,2399,1053,20368,1905845,301420,310,1720,3370,439092,1451,20865,7730,52608,143716,12896,8121,519,198683,0,5214,1894,221,29078,5158,210362,163999
"Gangjin",0,4,2,0,4,73483,9,13,3,0,1,3,0,0,0,0,4,0,4,13,3,1,1,0,0,0,1,316,0,0,0,1,0,6,2,21,0,10,14,2,0,0,2,0,19,0,0,2,136,25,3,0,2,0,15,10,1,0,1,0,1,3,1,0,24521,0,2,0,5,11,0,1,4,0,99,1,0,1,6,0,0,1,0,2,0,4,3,0,2,1,3,2,76,7,3,349812,1,0,1,0,15,0,0,2,0,0,0,642941,0,0,0,0,1,1,1
"Gangneung",5908,25122,36891,710,898,0,91,726,226,704,339,5784,4421,2674,12718,140,34519,66,20859,37111,118,2535,5419,1671272,604,4525,21009,0,373421,1348,366,897,740,394,371,78,808,1,27,502,707,71,1236,33795,1326,767,190,56797,8078,2422,153,377,1717,243,4012,36,285,11,414894,2133,414,25185,2888,436,0,233,960,17345,1907,5503,110,6890,974,706,643,493,419,1,290,3960,1986,1425,17812,48,483544,8390,638,253,1976,496,217,1914,569863,92079,83,617,281,167205,453,1564,2327,488428,13226,704,766595,996,59803,0,151,256,122,8603,597,55885,88944
"Gapyeong",9,4,12,1,1,0,0,2,0,0,0,7,3,6,197,0,7,0,18,9,0,0,22,7,2,1,6,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,14,5,0,6,0,0,0,5,0,0,0,324,714,0,11,2,0,0,0,0,95,1,4,0,1,0,0,3,1,1,0,0,0,0,3,2,5,6,3,0,0,4,0,0,0,61,2,0,0,0,45,0,4,0,222,3,1,4,1,19,2,1,0,0,19,0,3,12
"Geochang",6536,748,2218,167,3,0,258,56785,4,50782,19748,3307,12216,1473,543,861,3176,9,709737,10973,4629,516,860,12,1905,31,551,0,420,3,382582,2180,5103,60138,350,1322,983,0,64,815,81520,6895,9188,183,17,1942,1192,978,46184,14575,18047,18008,237,7140,105955,27,81808,26174,179,408,3,2451,2954,443,1,1923,1565,1281,1032,7102,1689,410,64745,2080,157,2011,493,0,32631,5,841,78,2160,21366,90,1480,25879,29553,2233,1513,6,406,21866,2588,5179,3880,19725,3011,12232,25568,8740,958,399,11139,136,160,592,0,15494,103,639,2516,693,699,367
"Geumsan",41,5118,17930,527,677,0,60,19422,1039,759,2386,53380,1058,6440,1018,110,119033,1976,8927,1275640,453,5620,717,403,6,346,5095,0,823,0,1804,94553,2774,8477,1612,106,56,1,10,14464,645,3649,3580,1866,407,3,374,8395,10229,9617,1269,570,13402,3375,15034,55,19011,153,522,734,48,21412,9000,182,1,27540,1544,3029,4401,11887,3857,9559,18735,262,560,105852,32,0,4452,1,15474,2487,18924,1425,254,14918,11866,19012,2419,51497,887,5041,118445,21079,623,1041,371,21859,12114,2288,4765,1695,672,2254,269,1,2116,0,818,1504,133,268,19173,4038,2558
"Gimcheon",943,11316,22251,2043,1236,0,165,82742,2746,38003,12484,52310,84459,17492,1122,6372,66788,1945,990738,327199,1081,12262,252,174,303,1112,7314,0,906,6,5048,2963,201647,42769,1549,510,12998,2,32,9927,34782,267,775775,2808,1684,219,326,12798,18130,11050,49191,63289,3848,3059,91646,52,1573,1082,419,721,65,32631,13785,221,1,112,1226,3544,5714,17272,151,7260,5502,15586,712,136,7974,0,3809,3,12740,41756,33087,60455,331,21366,5611,1375,52293,31522,1930,16536,168676,28398,861,1472,107671,41094,1940,63890,6664,1341,6368,26430,400,15,6204,0,47219,102515,362,198,19312,6923,6231
"Gimhae",9788,8574,11573,2679,56,10,2864,7710148,278,285069,3850303,28708,27125,13981,2045,19761,29011,288,312213,53184,9067,6035,3533,13,3301,904,8973,7,352,37,62362,9084,38821,8786665,2625,5131,9056,6,7348,4637,5700,3614,34266,3328,613,2001,3174,11788,119708,301218,378689,4587,2574,168510,796091,55,35296,4322,701,1231,41,16496,21742,1434,6,5198,5160,3847,6689,114743,5507,3908,527720,55922,403,12190,4066,1,18522,19,6962,4464,15485,3604,419,14640,309805,75636,16158,7339,131,6345,123580,23062,4026,54231,30898,22575,2861,1132243,58087,3040,6925,2662579,355,515,6955,7,23039,4008,3065,6240,6986,7593,8340
"Gimje",92,6251,5508,536,14766,1,25270,4182,5471,358,1292,6250,618,2483,433,24,16294,735,7633,66279,4840,17461,297,222,24,329,2639,3,481,2,338,1527,1721,3536,11384,66927,58,0,1832,37602,312,417,2439,1458,12210,14,118,2033,416090,849,797,429,3898,141,4250,10848,2136,41,214,427,4146,15569,68879,224,1,4419,78749,1212,182037,135917,4159,3104,1394,67,65693,3731,15,347,238,2,14674,1712,3446,1234,124,9358,748,1809,2937,13762,6978,14244,63259,21334,87,3180,210,4379,986,1220,72640,878,280,665,223,0,1604,0,646,474,21123,147,17974,2702,438
"Gochang",544,8007,5918,79,17457,7,128719,7203,6733,896,1769,15376,456,319,72,43,1238,1240,11276,2758,22531,9267,29,21,90,875,182,15,47,1,1445,78,366,4670,76300,107770,11,3,15572,23668,576,618,602,3089,187403,51,3037,124,785797,9676,1370,1536,79,2272,9279,38483,1441,77,27,43,7200,30752,518,2469,3,31,91835,135,1072,2153,77,196,3262,69,344692,177,13,458,19098,2,198,102,8792,2162,25,14119,2378,1306,216,8032,9801,10091,119895,30511,9472,39411,494,11069,2117,2766,2507,140,42,1404,35,8,115,11,654,20,100477,181,2737,252,733
"Goesan",125,6930,14049,672,389,0,7,32868,32,7508,3949,512,10909,60029,691,1369,1651,8,92894,1894,50,1126,2732,403,26,1241,18707,0,813,8,992,46,14031,12965,64,8,30432,0,2,51,4633,80,36241,10426,84,22,37,21031,785,1310,19291,6798,42,543,29217,2,243,88,392,497,234,8528,160,24,0,13,66,6361,133,800,5,3651,2205,6845,37,27,13996,0,311,11,77,84,6937,15150,246,9329,1771,198,134597,44,30,1006,167878,24859,24,174,6584,40665,540,30748,187,1518,19578,13703,423,4,19364,0,7657,1039,4,525,242,12754,13407
